PING 143.54.48.17 (143.54.48.17) 22(50) bytes of data.
30 bytes from 143.54.48.17: icmp_seq=40 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=41 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=42 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=43 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=45 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=46 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=47 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=48 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=49 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=50 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=51 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=52 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=53 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=54 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=55 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=56 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=57 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=58 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=59 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=60 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=62 ttl=62 time=570 ms
30 bytes from 143.54.48.17: icmp_seq=63 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=64 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=65 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=66 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=67 ttl=62 time=613 ms
30 bytes from 143.54.48.17: icmp_seq=68 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=70 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=71 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=72 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=73 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=74 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=76 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=77 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=78 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=79 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=80 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=81 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=82 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=83 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=84 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=85 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=87 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=88 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=89 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=90 ttl=62 time=574 ms
30 bytes from 143.54.48.17: icmp_seq=91 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=93 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=96 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=97 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=99 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=100 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=101 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=102 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=103 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=104 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=105 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=106 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=108 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=110 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=111 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=112 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=113 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=114 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=115 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=116 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=117 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=118 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=120 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=121 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=122 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=123 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=124 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=125 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=126 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=127 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=128 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=129 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=130 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=131 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=132 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=134 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=135 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=136 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=137 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=138 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=139 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=140 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=141 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=144 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=145 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=146 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=148 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=150 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=151 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=152 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=153 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=154 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=155 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=156 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=157 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=158 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=159 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=167 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=168 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=169 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=170 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=171 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=180 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=183 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=184 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=187 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=188 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=189 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=190 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=191 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=192 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=195 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=197 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=202 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=204 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=219 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=220 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=228 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=229 ttl=62 time=570 ms
30 bytes from 143.54.48.17: icmp_seq=233 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=234 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=235 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=241 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=243 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=244 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=258 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=260 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=261 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=262 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=263 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=264 ttl=62 time=570 ms
30 bytes from 143.54.48.17: icmp_seq=265 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=266 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=267 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=268 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=269 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=270 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=271 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=275 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=278 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=279 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=280 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=281 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=282 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=283 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=284 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=285 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=286 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=288 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=291 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=296 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=301 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=302 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=303 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=304 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=305 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=306 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=308 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=312 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=313 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=314 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=318 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=319 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=320 ttl=62 time=636 ms
30 bytes from 143.54.48.17: icmp_seq=321 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=322 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=323 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=324 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=325 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=326 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=327 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=328 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=329 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=331 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=332 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=333 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=334 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=335 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=336 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=337 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=339 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=340 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=341 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=342 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=343 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=344 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=345 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=346 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=347 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=348 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=349 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=350 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=351 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=352 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=353 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=354 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=355 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=356 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=357 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=358 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=359 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=360 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=361 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=362 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=363 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=364 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=365 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=366 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=367 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=368 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=369 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=370 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=371 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=372 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=373 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=374 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=375 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=376 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=377 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=378 ttl=62 time=568 ms

--- 143.54.48.17 ping statistics ---
386 packets transmitted, 264 received, 31.6062% packet loss, time 387677ms
rtt min/avg/max/mdev = 567.991/568.896/635.714/4.973 ms
