10.10.0.129 : [0], 30 bytes, 314 ms (314 avg, 0% loss)
10.10.0.129 : [1], 30 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [2], 30 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [3], 30 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [4], 30 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [5], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [6], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [7], 30 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [8], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [9], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [10], 30 bytes, 320 ms (316 avg, 0% loss)
10.10.0.129 : [11], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [12], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [13], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [14], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [15], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [16], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [17], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [18], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [19], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [20], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [21], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [22], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [23], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [24], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [25], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [26], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [27], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [28], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [29], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [30], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [31], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [32], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [33], 30 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [34], 30 bytes, 316 ms (316 avg, 0% loss)
