143.54.48.17 : [0], 94 bytes, 307 ms (307 avg, 0% loss)
143.54.48.17 : [1], timed out (307 avg, 50% loss)
143.54.48.17 : [2], 94 bytes, 316 ms (311 avg, 33% loss)
143.54.48.17 : [3], 94 bytes, 316 ms (313 avg, 25% loss)
143.54.48.17 : [4], 94 bytes, 316 ms (314 avg, 20% loss)
143.54.48.17 : [5], 94 bytes, 316 ms (314 avg, 16% loss)
143.54.48.17 : [6], 94 bytes, 316 ms (314 avg, 14% loss)
143.54.48.17 : [7], 94 bytes, 316 ms (315 avg, 12% loss)
143.54.48.17 : [8], 94 bytes, 316 ms (315 avg, 11% loss)
143.54.48.17 : [9], 94 bytes, 316 ms (315 avg, 10% loss)
143.54.48.17 : [10], 94 bytes, 316 ms (315 avg, 9% loss)
143.54.48.17 : [11], 94 bytes, 316 ms (315 avg, 8% loss)
143.54.48.17 : [12], 94 bytes, 317 ms (315 avg, 7% loss)
143.54.48.17 : [13], 94 bytes, 319 ms (316 avg, 7% loss)
143.54.48.17 : [14], 94 bytes, 319 ms (316 avg, 6% loss)
143.54.48.17 : [15], 94 bytes, 319 ms (316 avg, 6% loss)
143.54.48.17 : [16], 94 bytes, 319 ms (316 avg, 5% loss)
143.54.48.17 : [17], 94 bytes, 318 ms (316 avg, 5% loss)
143.54.48.17 : [18], 94 bytes, 316 ms (316 avg, 5% loss)
143.54.48.17 : [19], 94 bytes, 317 ms (316 avg, 5% loss)
143.54.48.17 : [20], 94 bytes, 317 ms (316 avg, 4% loss)
143.54.48.17 : [21], 94 bytes, 316 ms (316 avg, 4% loss)
143.54.48.17 : [22], 94 bytes, 316 ms (316 avg, 4% loss)
143.54.48.17 : [23], 94 bytes, 316 ms (316 avg, 4% loss)
143.54.48.17 : [24], 94 bytes, 316 ms (316 avg, 4% loss)
143.54.48.17 : [25], 94 bytes, 317 ms (316 avg, 3% loss)
143.54.48.17 : [26], 94 bytes, 316 ms (316 avg, 3% loss)
143.54.48.17 : [27], 94 bytes, 316 ms (316 avg, 3% loss)
143.54.48.17 : [28], 94 bytes, 316 ms (316 avg, 3% loss)
143.54.48.17 : [29], 94 bytes, 316 ms (316 avg, 3% loss)
143.54.48.17 : [30], 94 bytes, 316 ms (316 avg, 3% loss)
143.54.48.17 : [31], 94 bytes, 316 ms (316 avg, 3% loss)
143.54.48.17 : [32], 94 bytes, 316 ms (316 avg, 3% loss)
143.54.48.17 : [33], 94 bytes, 316 ms (316 avg, 2% loss)
143.54.48.17 : [34], 94 bytes, 316 ms (316 avg, 2% loss)
